LANG, English, Portuguese
MOUSEWHEEL, Mouse Wheel Sensibility Up, +Sensibilidade Roda do Mouse
RETURN, Return, Voltar
PLAYASISAB, Play as Isabel, Jogar como Isabel
AWOMANWHOS, A woman who seeks out revenge and will do whatever it takes to get it done, Uma mulher em busca de vingança que é capaz de tudo para alcançar seu objetivo
REACHLEVEL, reach level {0} as Lu to proceed, A Lu precisa alcançar o level {0} para avançar
LUHASREACH, Lu has reached level {0}. You can now proceed., Lu alcançou o level {0}. Você pode prosseguir.
PLAYASLU, Play as Lu, Jogar como a Lu
ANYOUNGGIR, An young girl who adventures across the Lagrima Continent, Uma menina que se aventura no Continente da Lagrima
DEVELOPEDB, Developed by Pedro Gabriel\nFonteles Furtado, Desenvolvido por Pedro Gabriel\nFonteles Furtado
FULLVERSIO, Full version, Versão completa
RESET, Reset, Resetar
SETTINGS, Settings, Opções,
CHANGESETT, Change settings of the game, Mudar as opções do jogo
REGION, Region, Região
BATTLE, Battle, Batalha
EQUIPMENT, Equipment, Equipamento
MEMORY, Memory, Memoria
ACHIEVEMEN, Achievement, Conquistas
UNKNOWN, Unknown, Desconhecido
NAP, Nap, Dormir
